C:\Users\conej\Documents\conecta-social-comunidad-main\src\components\video\VideoCallWindow.tsx: line 41, col 5, Warning - 'callId' is assigned a value but never used. Allowed unused vars must match /^_/u. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\demo\DemoProvider.tsx: line 57, col 34, Warning - 'password' is defined but never used. Allowed unused args must match /^_/u. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\demo\demoData.ts: line 65, col 44, Warning - 'i' is defined but never used. Allowed unused args must match /^_/u. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\examples\hcaptcha-example.tsx: line 24, col 9, Warning - 'handleVerify' is assigned a value but never used. Allowed unused vars must match /^_/u. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\examples\hcaptcha-example.tsx: line 38, col 9, Warning - 'handleError' is assigned a value but never used. Allowed unused vars must match /^_/u. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\examples\hcaptcha-example.tsx: line 45, col 9, Warning - 'handleExpire' is assigned a value but never used. Allowed unused vars must match /^_/u. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\hooks\use-toast.ts: line 18, col 7, Warning - 'actionTypes' is assigned a value but only used as a type. Allowed unused vars must match /^_/u. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\hooks\useBiometricAuth.ts: line 92, col 15, Warning - 'data' is assigned a value but never used. Allowed unused vars must match /^_/u. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\hooks\useBiometricAuth.ts: line 165, col 13, Warning - 'credentialId' is assigned a value but never used. Allowed unused vars must match /^_/u. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\hooks\useCouplePhotos.ts: line 80, col 21, Warning - 'uploadData' is assigned a value but never used. Allowed unused vars must match /^_/u. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\hooks\useOnlineStatus.ts: line 23, col 37, Warning - 'userId' is defined but never used. Allowed unused args must match /^_/u. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\hooks\usePersistedState.ts: line 37, col 16, Warning - 'jsonError' is defined but never used. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\hooks\useProfileCache.ts: line 135, col 15, Warning - 'error' is defined but never used. Allowed unused args must match /^_/u. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\hooks\usePushNotifications.ts: line 204, col 61, Warning - 'pushSubscription' is defined but never used. Allowed unused args must match /^_/u. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\hooks\useRealtimeChat.ts: line 54, col 3, Warning - 'onTypingUpdate' is defined but never used. Allowed unused args must match /^_/u. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\hooks\useTokens.ts: line 64, col 25, Warning - 'appMode' is assigned a value but never used. Allowed unused vars must match /^_/u. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\hooks\useTokens.ts: line 108, col 20, Warning - 'error' is defined but never used. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\hooks\useTokens.ts: line 307, col 15, Warning - 'data' is assigned a value but never used. Allowed unused vars must match /^_/u. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\lib\MatchingService.ts: line 547, col 29, Warning - 'callback' is defined but never used. Allowed unused args must match /^_/u. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\lib\advancedFeatures.ts: line 223, col 11, Warning - 'total' is assigned a value but never used. Allowed unused vars must match /^_/u. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\lib\advancedFeatures.ts: line 234, col 5, Warning - 'maxDistance' is defined but never used. Allowed unused args must match /^_/u. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\lib\advancedFeatures.ts: line 600, col 41, Warning - 'userId' is defined but never used. Allowed unused args must match /^_/u. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\lib\advancedFeatures.ts: line 664, col 73, Warning - 'passedProfiles' is defined but never used. Allowed unused args must match /^_/u. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\lib\ai\contentModeration.ts: line 397, col 11, Warning - 'hasAppropriateContext' is assigned a value but never used. Allowed unused vars must match /^_/u. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\lib\app-config.ts: line 77, col 7, Warning - 'ADMIN_EMAILS' is assigned a value but never used. Allowed unused vars must match /^_/u. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\lib\app-config.ts: line 134, col 9, Warning - 'config' is assigned a value but never used. Allowed unused vars must match /^_/u. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\lib\backup-system.ts: line 372, col 53, Warning - 'data' is defined but never used. Allowed unused args must match /^_/u. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\lib\backup-system.ts: line 507, col 30, Warning - 'tableData' is assigned a value but never used. Allowed unused vars must match /^_/u. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\lib\chat.ts: line 16, col 10, Warning - 'getCurrentUserId' is defined but never used. Allowed unused vars must match /^_/u. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\lib\chat.ts: line 22, col 6, Warning - 'MessageInsert' is defined but never used. Allowed unused vars must match /^_/u. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\lib\chat.ts: line 259, col 5, Warning - 'messageType' is assigned a value but never used. Allowed unused args must match /^_/u. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\lib\data.ts: line 134, col 36, Warning - 'includeOnlineStatus' is assigned a value but never used. Allowed unused args must match /^_/u. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\lib\data.ts: line 171, col 9, Warning - 'apellido' is assigned a value but never used. Allowed unused vars must match /^_/u. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\lib\features.ts: line 159, col 43, Warning - 'feature' is defined but never used. Allowed unused args must match /^_/u. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\lib\multimediaSecurity.ts: line 198, col 18, Warning - 'error' is defined but never used. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\lib\multimediaSecurity.ts: line 265, col 39, Warning - 'bytes' is defined but never used. Allowed unused args must match /^_/u. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\lib\productionMatches.ts: line 171, col 13, Warning - 'userInterests' is assigned a value but never used. Allowed unused vars must match /^_/u. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\lib\productionMatches.ts: line 175, col 15, Warning - 'profileInterests' is assigned a value but never used. Allowed unused vars must match /^_/u. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\lib\requests.ts: line 5, col 6, Warning - 'ProfileRow' is defined but never used. Allowed unused vars must match /^_/u. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\lib\requests.ts: line 6, col 6, Warning - 'InvitationRow' is defined but never used. Allowed unused vars must match /^_/u. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\lib\security\fileValidator.ts: line 50, col 7, Warning - 'FILE_SIGNATURES' is assigned a value but never used. Allowed unused vars must match /^_/u. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\pages\AdminDashboard.tsx: line 62, col 11, Warning - 'user' is assigned a value but never used. Allowed unused vars must match /^_/u. (unused-imports/no-unused-vars)
